"","x"
"1",0
"2",0
"3",0
"4",1
"5",1
"6",1
"7",1
"8",1
"9",0.76267405467374
"10",0
"11",1
"12",0.000225971163402895
"13",1.87977644135024e-05
"14",0
"15",0
"16",1
"17",1
"18",1
"19",0
"20",0
"21",0
"22",1
"23",0.0704000410085499
"24",0.0212731090570078
"25",0
"26",0
"27",0
"28",0
"29",0.293472915644796
"30",6.8209719733112e-07
"31",4.14227226534114e-08
"32",0
"33",0
"34",0
"35",0
"36",0
"37",2.13974298587932e-34
"38",8.51796009227091e-19
"39",5.7865166827647e-14
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",1.3041947813944e-82
"47",1.80263510391724e-188
"48",1.81539592319888e-55
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",8.56556074063515e-69
"57",3.017432542657e-41
"58",6.73616756464241e-166
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",1.78770090450783e-73
"68",1.00291723645302e-26
"69",7.63278367965753e-29
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",1.08836923539593e-23
"80",3.02006995665579e-58
"81",4.24330225285323e-08
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",5.71726351548713e-19
"93",3.86152538637299e-06
"94",3.81297907108436e-54
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",1
"107",0.785826419642246
"108",0.0137357595149838
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",1.24822719433876e-07
"122",1
"123",1
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",4.09969958048769e-06
"138",1.359390512331e-37
"139",6.02338919219131e-24
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",2.56196087392047e-11
"155",4.25859823546834e-25
"156",1.12061503508999e-59
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",1.79275525461135e-299
