"","步行","上楼","躺着","躺着转换为站着","躺着转换为坐着","下楼","站着","站着转换为躺着","站着转换为坐着","坐着","坐着转换为躺着","坐着转换为站着"
"步行",494,0,0,0,0,2,0,0,0,0,0,0
"上楼",17,449,0,0,0,5,0,0,0,0,0,0
"躺着",0,0,544,0,0,0,0,0,1,0,0,0
"躺着转换为站着",0,0,0,15,9,0,0,3,0,0,0,0
"躺着转换为坐着",0,0,0,8,17,0,0,0,0,0,0,0
"下楼",6,17,0,0,0,397,0,0,0,0,0,0
"站着",0,0,0,0,0,0,541,0,1,14,0,0
"站着转换为躺着",0,0,0,1,0,0,0,32,3,1,12,0
"站着转换为坐着",0,0,0,0,0,0,1,1,18,2,1,0
"坐着",0,0,0,0,0,0,62,0,1,444,0,1
"坐着转换为躺着",0,0,0,0,0,0,0,12,1,0,19,0
"坐着转换为站着",0,0,0,0,0,0,0,0,0,0,0,10
