"","步行","上楼","躺着","躺着转换为站着","躺着转换为坐着","下楼","站着","站着转换为躺着","站着转换为坐着","坐着","坐着转换为躺着","坐着转换为站着"
"步行",491,1,0,0,0,4,0,0,0,0,0,0
"上楼",26,444,0,0,0,1,0,0,0,0,0,0
"躺着",2,1,541,0,0,0,1,0,0,0,0,0
"躺着转换为站着",1,0,0,16,7,0,0,3,0,0,0,0
"躺着转换为坐着",0,1,0,6,18,0,0,0,0,0,0,0
"下楼",35,66,0,0,0,319,0,0,0,0,0,0
"站着",5,0,0,0,0,0,527,0,0,24,0,0
"站着转换为躺着",2,3,1,0,0,0,0,31,2,1,9,0
"站着转换为坐着",0,6,0,0,0,0,0,0,16,1,0,0
"坐着",2,2,0,0,0,0,58,0,0,446,0,0
"坐着转换为躺着",1,0,0,0,0,0,0,8,1,0,22,0
"坐着转换为站着",0,1,0,0,0,0,0,0,0,0,0,9
