"","步行","上楼","躺着","躺着转换为站着","躺着转换为坐着","下楼","站着","站着转换为躺着","站着转换为坐着","坐着","坐着转换为躺着","坐着转换为站着"
"步行",482,6,0,0,0,8,0,0,0,0,0,0
"上楼",15,455,0,0,0,1,0,0,0,0,0,0
"躺着",0,0,544,0,0,0,0,1,0,0,0,0
"躺着转换为站着",0,0,0,17,6,1,0,2,1,0,0,0
"躺着转换为坐着",0,0,0,7,17,0,0,0,1,0,0,0
"下楼",10,33,0,0,0,377,0,0,0,0,0,0
"站着",0,0,0,0,0,0,526,0,0,30,0,0
"站着转换为躺着",1,0,1,0,0,0,0,35,0,2,10,0
"站着转换为坐着",0,1,0,0,0,0,0,0,20,2,0,0
"坐着",0,1,1,0,0,0,48,0,1,457,0,0
"坐着转换为躺着",0,0,0,0,0,1,0,8,0,0,23,0
"坐着转换为站着",0,0,0,0,0,1,0,0,0,0,0,9
