"","步行","上楼","躺着","躺着转换为站着","躺着转换为坐着","下楼","站着","站着转换为躺着","站着转换为坐着","坐着","坐着转换为躺着","坐着转换为站着"
"步行",356,1,0,0,0,139,0,0,0,0,0,0
"上楼",46,295,0,0,0,130,0,0,0,0,0,0
"躺着",0,0,544,0,0,1,0,0,0,0,0,0
"躺着转换为站着",0,1,0,17,6,0,0,2,1,0,0,0
"躺着转换为坐着",0,0,0,9,16,0,0,0,0,0,0,0
"下楼",142,13,0,0,0,265,0,0,0,0,0,0
"站着",0,0,0,0,0,0,518,0,0,38,0,0
"站着转换为躺着",0,5,0,0,1,2,0,32,0,2,7,0
"站着转换为坐着",0,2,0,0,0,1,2,3,13,2,0,0
"坐着",0,0,0,0,0,0,71,0,0,436,0,1
"坐着转换为躺着",0,0,0,0,0,2,0,20,0,0,10,0
"坐着转换为站着",0,0,0,0,0,0,0,0,0,0,0,10
