"","步行","上楼","躺着","躺着转换为站着","躺着转换为坐着","下楼","站着","站着转换为躺着","站着转换为坐着","坐着","坐着转换为躺着","坐着转换为站着"
"步行",484,0,0,0,0,12,0,0,0,0,0,0
"上楼",70,378,0,0,0,21,0,0,2,0,0,0
"躺着",0,0,545,0,0,0,0,0,0,0,0,0
"躺着转换为站着",0,0,0,19,6,0,0,1,0,0,1,0
"躺着转换为坐着",0,0,0,6,18,0,0,0,1,0,0,0
"下楼",20,39,0,0,0,361,0,0,0,0,0,0
"站着",0,0,0,0,0,0,511,0,0,45,0,0
"站着转换为躺着",0,0,0,1,0,0,0,33,3,3,9,0
"站着转换为坐着",0,0,0,0,0,0,0,1,20,0,1,1
"坐着",0,1,0,0,0,0,105,0,1,400,0,1
"坐着转换为躺着",0,0,0,0,0,0,0,5,0,0,27,0
"坐着转换为站着",0,0,0,0,0,0,0,0,0,0,0,10
