"","步行","上楼","躺着","躺着转换为站着","躺着转换为坐着","下楼","站着","站着转换为躺着","站着转换为坐着","坐着","坐着转换为躺着","坐着转换为站着"
"步行",480,1,0,0,0,15,0,0,0,0,0,0
"上楼",79,383,0,0,0,9,0,0,0,0,0,0
"躺着",0,0,516,0,0,0,28,0,1,0,0,0
"躺着转换为站着",0,1,0,11,13,0,0,1,1,0,0,0
"躺着转换为坐着",0,1,0,7,17,0,0,0,0,0,0,0
"下楼",67,42,0,0,0,311,0,0,0,0,0,0
"站着",3,0,0,0,0,0,508,0,0,44,1,0
"站着转换为躺着",4,1,1,0,0,0,0,31,2,3,7,0
"站着转换为坐着",2,4,0,0,0,0,0,1,16,0,0,0
"坐着",1,1,0,0,0,0,120,0,0,385,0,1
"坐着转换为躺着",0,0,0,0,0,0,0,8,0,0,24,0
"坐着转换为站着",0,1,0,0,0,0,0,0,0,0,0,9
