"","步行","上楼","躺着","躺着转换为站着","躺着转换为坐着","下楼","站着","站着转换为躺着","站着转换为坐着","坐着","坐着转换为躺着","坐着转换为站着"
"步行",471,5,0,0,0,20,0,0,0,0,0,0
"上楼",30,427,0,0,0,14,0,0,0,0,0,0
"躺着",0,0,544,0,0,0,0,1,0,0,0,0
"躺着转换为站着",0,0,0,17,7,0,0,3,0,0,0,0
"躺着转换为坐着",0,0,0,11,13,0,0,0,1,0,0,0
"下楼",25,42,0,0,0,353,0,0,0,0,0,0
"站着",0,0,0,0,0,0,510,1,0,45,0,0
"站着转换为躺着",1,1,2,0,0,0,0,30,1,2,12,0
"站着转换为坐着",0,3,0,0,0,0,0,1,19,0,0,0
"坐着",0,1,0,0,0,0,110,4,0,393,0,0
"坐着转换为躺着",0,0,0,0,0,0,0,6,0,0,26,0
"坐着转换为站着",0,0,0,0,0,0,0,1,0,0,0,9
