"","步行","上楼","躺着","躺着转换为站着","躺着转换为坐着","下楼","站着","站着转换为躺着","站着转换为坐着","坐着","坐着转换为躺着","坐着转换为站着"
"步行",345,9,0,0,0,142,0,0,0,0,0,0
"上楼",100,306,0,1,0,61,0,3,0,0,0,0
"躺着",0,0,538,4,1,0,0,1,0,0,1,0
"躺着转换为站着",0,6,6,3,6,1,0,1,4,0,0,0
"躺着转换为坐着",0,0,7,2,12,1,0,0,3,0,0,0
"下楼",111,64,0,0,0,243,0,2,0,0,0,0
"站着",0,0,0,1,0,0,487,5,0,63,0,0
"站着转换为躺着",0,3,0,1,0,0,0,33,0,9,3,0
"站着转换为坐着",0,1,0,2,0,0,0,13,7,0,0,0
"坐着",0,0,0,2,0,0,109,11,0,386,0,0
"坐着转换为躺着",0,0,0,0,0,0,0,19,0,5,7,1
"坐着转换为站着",0,1,0,5,0,0,0,0,0,0,0,4
