"","步行","上楼","躺着","躺着转换为站着","躺着转换为坐着","下楼","站着","站着转换为躺着","站着转换为坐着","坐着","坐着转换为躺着","坐着转换为站着"
"步行",489,0,0,0,0,7,0,0,0,0,0,0
"上楼",54,393,0,0,0,23,0,0,1,0,0,0
"躺着",0,0,544,0,0,0,0,0,1,0,0,0
"躺着转换为站着",0,0,0,18,6,0,0,2,0,0,1,0
"躺着转换为坐着",0,0,0,8,16,0,0,0,0,0,1,0
"下楼",8,31,0,0,0,381,0,0,0,0,0,0
"站着",0,0,0,0,0,0,514,0,0,42,0,0
"站着转换为躺着",0,0,0,1,0,0,0,33,2,3,10,0
"站着转换为坐着",0,1,0,0,0,0,0,0,20,2,0,0
"坐着",0,1,0,0,0,0,104,0,1,400,1,1
"坐着转换为躺着",0,0,0,0,0,0,0,5,0,0,27,0
"坐着转换为站着",0,0,0,0,0,0,0,0,0,0,0,10
