"","步行","上楼","躺着","躺着转换为站着","躺着转换为坐着","下楼","站着","站着转换为躺着","站着转换为坐着","坐着","坐着转换为躺着","坐着转换为站着"
"步行",481,2,0,0,0,13,0,0,0,0,0,0
"上楼",72,389,0,0,0,10,0,0,0,0,0,0
"躺着",0,1,519,0,0,0,24,0,1,0,0,0
"躺着转换为站着",0,1,0,14,10,0,0,1,0,0,0,1
"躺着转换为坐着",0,1,0,6,18,0,0,0,0,0,0,0
"下楼",73,41,0,0,0,306,0,0,0,0,0,0
"站着",5,0,0,0,0,0,512,0,0,38,1,0
"站着转换为躺着",4,1,1,0,0,1,0,30,2,2,8,0
"站着转换为坐着",1,5,0,0,0,0,0,0,16,1,0,0
"坐着",3,1,0,0,0,0,125,0,0,378,0,1
"坐着转换为躺着",0,0,0,0,0,1,0,5,0,0,26,0
"坐着转换为站着",0,1,0,0,0,0,0,0,0,0,0,9
