"","步行","上楼","躺着","躺着转换为站着","躺着转换为坐着","下楼","站着","站着转换为躺着","站着转换为坐着","坐着","坐着转换为躺着","坐着转换为站着"
"步行",477,2,0,0,0,17,0,0,0,0,0,0
"上楼",32,426,0,0,0,13,0,0,0,0,0,0
"躺着",0,0,544,0,0,0,0,1,0,0,0,0
"躺着转换为站着",0,0,0,21,3,0,0,3,0,0,0,0
"躺着转换为坐着",0,0,0,10,14,0,0,0,1,0,0,0
"下楼",35,32,0,0,0,353,0,0,0,0,0,0
"站着",0,0,0,0,0,0,511,1,0,44,0,0
"站着转换为躺着",0,1,2,0,0,1,0,33,0,2,10,0
"站着转换为坐着",0,5,0,0,0,0,0,0,17,1,0,0
"坐着",0,1,1,0,0,0,108,2,0,396,0,0
"坐着转换为躺着",0,0,0,0,0,0,0,4,0,0,28,0
"坐着转换为站着",0,0,0,0,0,0,0,1,0,0,0,9
