"","步行","上楼","躺着","躺着转换为站着","躺着转换为坐着","下楼","站着","站着转换为躺着","站着转换为坐着","坐着","坐着转换为躺着","坐着转换为站着"
"步行",305,34,0,0,0,157,0,0,0,0,0,0
"上楼",80,318,0,0,0,72,0,0,1,0,0,0
"躺着",0,0,540,3,1,0,0,1,0,0,0,0
"躺着转换为站着",0,3,8,2,6,1,0,2,1,2,0,2
"躺着转换为坐着",0,1,4,5,14,0,0,0,1,0,0,0
"下楼",99,96,0,0,0,224,0,1,0,0,0,0
"站着",0,0,0,0,0,0,492,4,0,60,0,0
"站着转换为躺着",0,2,0,1,0,0,0,33,2,9,2,0
"站着转换为坐着",0,2,0,1,0,1,0,12,7,0,0,0
"坐着",0,0,0,2,0,0,106,7,0,393,0,0
"坐着转换为躺着",0,0,0,0,0,0,0,21,0,2,8,1
"坐着转换为站着",0,0,0,3,0,0,0,0,1,0,0,6
