"","步行","上楼","躺着","躺着转换为站着","躺着转换为坐着","下楼","站着","站着转换为躺着","站着转换为坐着","坐着","坐着转换为躺着","坐着转换为站着"
"步行",1226,0,0,0,0,0,0,0,0,0,0,0
"上楼",0,1073,0,0,0,0,0,0,0,0,0,0
"躺着",0,0,1413,0,0,0,0,0,0,0,0,0
"躺着转换为站着",0,0,0,57,0,0,0,0,0,0,0,0
"躺着转换为坐着",0,0,0,0,60,0,0,0,0,0,0,0
"下楼",0,0,0,0,0,987,0,0,0,0,0,0
"站着",0,0,0,0,0,0,1412,0,0,11,0,0
"站着转换为躺着",0,0,0,0,0,0,0,90,0,0,0,0
"站着转换为坐着",0,0,0,0,0,0,0,0,47,0,0,0
"坐着",0,0,0,0,0,0,12,0,0,1281,0,0
"坐着转换为躺着",0,0,0,0,0,0,0,0,0,0,75,0
"坐着转换为站着",0,0,0,0,0,0,0,0,0,0,0,23
