"","步行","上楼","躺着","躺着转换为站着","躺着转换为坐着","下楼","站着","站着转换为躺着","站着转换为坐着","坐着","坐着转换为躺着","坐着转换为站着"
"步行",1225,1,0,0,0,0,0,0,0,0,0,0
"上楼",0,1073,0,0,0,0,0,0,0,0,0,0
"躺着",0,0,1413,0,0,0,0,0,0,0,0,0
"躺着转换为站着",1,0,1,54,1,0,0,0,0,0,0,0
"躺着转换为坐着",0,0,0,0,60,0,0,0,0,0,0,0
"下楼",7,20,0,0,0,960,0,0,0,0,0,0
"站着",1,0,0,0,0,0,1371,0,0,51,0,0
"站着转换为躺着",2,1,1,0,0,0,0,85,1,0,0,0
"站着转换为坐着",4,8,0,0,0,0,0,0,35,0,0,0
"坐着",0,0,4,0,0,0,71,0,0,1218,0,0
"坐着转换为躺着",0,0,0,0,0,0,0,0,0,1,74,0
"坐着转换为站着",0,0,0,0,0,0,0,0,0,1,0,22
