"","步行","上楼","躺着","躺着转换为站着","躺着转换为坐着","下楼","站着","站着转换为躺着","站着转换为坐着","坐着","坐着转换为躺着","坐着转换为站着"
"步行",1226,0,0,0,0,0,0,0,0,0,0,0
"上楼",0,1073,0,0,0,0,0,0,0,0,0,0
"躺着",0,0,1413,0,0,0,0,0,0,0,0,0
"躺着转换为站着",0,0,1,51,5,0,0,0,0,0,0,0
"躺着转换为坐着",0,0,0,3,57,0,0,0,0,0,0,0
"下楼",0,0,0,0,0,987,0,0,0,0,0,0
"站着",0,0,0,0,0,0,1376,0,0,47,0,0
"站着转换为躺着",0,0,1,0,0,0,0,87,1,0,1,0
"站着转换为坐着",0,0,0,0,0,0,0,0,47,0,0,0
"坐着",0,0,0,0,0,0,50,0,0,1243,0,0
"坐着转换为躺着",0,0,0,0,0,0,0,0,0,1,74,0
"坐着转换为站着",0,0,0,0,0,0,0,0,0,0,0,23
