"","步行","上楼","躺着","躺着转换为站着","躺着转换为坐着","下楼","站着","站着转换为躺着","站着转换为坐着","坐着","坐着转换为躺着","坐着转换为站着"
"步行",905,26,0,0,0,294,0,1,0,0,0,0
"上楼",85,724,0,0,0,261,3,0,0,0,0,0
"躺着",0,0,1408,1,0,1,0,3,0,0,0,0
"躺着转换为站着",0,0,1,42,12,2,0,0,0,0,0,0
"躺着转换为坐着",0,0,0,28,31,0,0,0,0,0,0,1
"下楼",286,44,0,1,0,643,0,13,0,0,0,0
"站着",0,2,0,0,0,0,1326,0,0,95,0,0
"站着转换为躺着",0,4,0,0,0,5,1,54,7,0,18,1
"站着转换为坐着",1,1,0,0,0,3,2,10,29,0,0,1
"坐着",0,0,5,0,0,0,105,1,1,1181,0,0
"坐着转换为躺着",0,0,0,0,0,2,0,35,1,1,36,0
"坐着转换为站着",0,1,0,1,0,0,0,0,0,0,0,21
