"","步行","上楼","躺着","躺着转换为站着","躺着转换为坐着","下楼","站着","站着转换为躺着","站着转换为坐着","坐着","坐着转换为躺着","坐着转换为站着"
"步行",1204,15,0,0,0,7,0,0,0,0,0,0
"上楼",18,1044,0,0,0,11,0,0,0,0,0,0
"躺着",0,0,1413,0,0,0,0,0,0,0,0,0
"躺着转换为站着",0,0,1,49,7,0,0,0,0,0,0,0
"躺着转换为坐着",0,0,0,3,57,0,0,0,0,0,0,0
"下楼",10,13,0,0,0,964,0,0,0,0,0,0
"站着",0,0,0,0,0,0,1327,0,0,96,0,0
"站着转换为躺着",0,0,0,0,0,0,0,81,1,0,8,0
"站着转换为坐着",0,0,0,0,0,0,0,0,47,0,0,0
"坐着",0,0,0,0,0,0,143,0,0,1150,0,0
"坐着转换为躺着",0,0,0,0,0,0,0,5,0,0,70,0
"坐着转换为站着",0,0,0,0,0,0,0,0,0,0,0,23
