"","步行","上楼","躺着","躺着转换为站着","躺着转换为坐着","下楼","站着","站着转换为躺着","站着转换为坐着","坐着","坐着转换为躺着","坐着转换为站着"
"步行",1211,9,0,0,0,6,0,0,0,0,0,0
"上楼",36,1027,0,0,0,10,0,0,0,0,0,0
"躺着",0,0,1413,0,0,0,0,0,0,0,0,0
"躺着转换为站着",0,0,1,56,0,0,0,0,0,0,0,0
"躺着转换为坐着",0,0,0,1,59,0,0,0,0,0,0,0
"下楼",43,31,0,0,0,913,0,0,0,0,0,0
"站着",3,1,0,0,0,0,1316,0,0,103,0,0
"站着转换为躺着",2,0,0,0,0,0,0,88,0,0,0,0
"站着转换为坐着",6,3,0,0,0,0,0,0,38,0,0,0
"坐着",2,0,0,0,0,0,195,0,0,1096,0,0
"坐着转换为躺着",1,0,0,0,0,0,0,0,0,0,74,0
"坐着转换为站着",2,0,0,0,0,0,0,0,0,0,0,21
