"","步行","上楼","躺着","躺着转换为站着","躺着转换为坐着","下楼","站着","站着转换为躺着","站着转换为坐着","坐着","坐着转换为躺着","坐着转换为站着"
"步行",1214,8,0,0,0,4,0,0,0,0,0,0
"上楼",14,1050,0,0,0,9,0,0,0,0,0,0
"躺着",0,0,1413,0,0,0,0,0,0,0,0,0
"躺着转换为站着",0,0,1,53,3,0,0,0,0,0,0,0
"躺着转换为坐着",0,0,0,3,57,0,0,0,0,0,0,0
"下楼",9,5,0,0,0,973,0,0,0,0,0,0
"站着",0,0,0,0,0,0,1303,0,0,120,0,0
"站着转换为躺着",0,0,1,0,0,0,0,84,1,0,4,0
"站着转换为坐着",0,0,0,0,0,0,1,0,46,0,0,0
"坐着",0,0,1,0,0,0,152,0,0,1140,0,0
"坐着转换为躺着",0,0,0,0,0,0,0,0,0,0,74,1
"坐着转换为站着",0,0,0,0,0,0,0,0,0,0,0,23
