"","步行","上楼","躺着","躺着转换为站着","躺着转换为坐着","下楼","站着","站着转换为躺着","站着转换为坐着","坐着","坐着转换为躺着","坐着转换为站着"
"步行",816,136,0,0,0,274,0,0,0,0,0,0
"上楼",198,661,0,9,0,186,0,17,2,0,0,0
"躺着",0,0,1380,11,0,0,0,18,0,1,2,1
"躺着转换为站着",0,6,7,8,28,5,0,0,2,0,0,1
"躺着转换为坐着",0,1,6,5,37,4,0,0,2,1,1,3
"下楼",208,177,0,1,0,594,0,7,0,0,0,0
"站着",1,0,0,0,0,0,1262,9,0,150,0,1
"站着转换为躺着",0,12,0,0,0,1,0,41,5,25,6,0
"站着转换为坐着",0,2,0,0,0,1,1,23,14,1,0,5
"坐着",0,0,17,4,0,0,228,30,0,1012,0,2
"坐着转换为躺着",0,2,1,1,0,0,0,41,9,9,12,0
"坐着转换为站着",0,2,0,12,1,0,0,0,1,0,0,7
