"","步行","上楼","躺着","躺着转换为站着","躺着转换为坐着","下楼","站着","站着转换为躺着","站着转换为坐着","坐着","坐着转换为躺着","坐着转换为站着"
"步行",1214,10,0,0,0,2,0,0,0,0,0,0
"上楼",11,1058,0,0,0,4,0,0,0,0,0,0
"躺着",0,0,1413,0,0,0,0,0,0,0,0,0
"躺着转换为站着",0,0,0,53,4,0,0,0,0,0,0,0
"躺着转换为坐着",0,0,0,3,57,0,0,0,0,0,0,0
"下楼",7,10,0,0,0,970,0,0,0,0,0,0
"站着",0,0,0,0,0,0,1334,0,0,89,0,0
"站着转换为躺着",0,0,0,0,0,0,0,84,0,0,6,0
"站着转换为坐着",0,0,0,0,0,0,0,0,47,0,0,0
"坐着",0,0,0,0,0,0,135,0,0,1158,0,0
"坐着转换为躺着",0,0,0,0,0,0,0,7,1,0,67,0
"坐着转换为站着",0,0,0,0,0,0,0,0,0,0,0,23
