"","步行","上楼","躺着","躺着转换为站着","躺着转换为坐着","下楼","站着","站着转换为躺着","站着转换为坐着","坐着","坐着转换为躺着","坐着转换为站着"
"步行",1217,7,0,0,0,2,0,0,0,0,0,0
"上楼",29,1042,0,0,0,2,0,0,0,0,0,0
"躺着",0,0,1413,0,0,0,0,0,0,0,0,0
"躺着转换为站着",0,0,1,56,0,0,0,0,0,0,0,0
"躺着转换为坐着",0,0,0,1,59,0,0,0,0,0,0,0
"下楼",39,26,0,0,0,922,0,0,0,0,0,0
"站着",4,0,0,0,0,0,1321,0,0,98,0,0
"站着转换为躺着",2,0,0,0,0,0,0,88,0,0,0,0
"站着转换为坐着",5,3,0,0,0,0,0,0,39,0,0,0
"坐着",4,0,0,0,0,0,210,0,0,1079,0,0
"坐着转换为躺着",1,0,0,0,0,0,0,0,0,0,74,0
"坐着转换为站着",2,0,0,0,0,0,0,0,0,0,0,21
