"","步行","上楼","躺着","躺着转换为站着","躺着转换为坐着","下楼","站着","站着转换为躺着","站着转换为坐着","坐着","坐着转换为躺着","坐着转换为站着"
"步行",1218,4,0,0,0,4,0,0,0,0,0,0
"上楼",17,1052,0,0,0,4,0,0,0,0,0,0
"躺着",0,0,1413,0,0,0,0,0,0,0,0,0
"躺着转换为站着",0,0,1,52,4,0,0,0,0,0,0,0
"躺着转换为坐着",0,0,0,1,59,0,0,0,0,0,0,0
"下楼",4,2,0,0,0,981,0,0,0,0,0,0
"站着",0,0,0,0,0,0,1300,0,0,123,0,0
"站着转换为躺着",0,0,1,0,0,0,0,84,1,0,4,0
"站着转换为坐着",0,1,0,0,0,0,1,0,45,0,0,0
"坐着",0,0,4,0,0,0,153,0,0,1136,0,0
"坐着转换为躺着",0,0,0,0,0,0,0,0,0,0,74,1
"坐着转换为站着",0,0,0,0,0,0,0,0,0,0,0,23
