"","步行","上楼","躺着","躺着转换为站着","躺着转换为坐着","下楼","站着","站着转换为躺着","站着转换为坐着","坐着","坐着转换为躺着","坐着转换为站着"
"步行",814,148,0,0,0,264,0,0,0,0,0,0
"上楼",171,673,0,2,0,215,0,12,0,0,0,0
"躺着",0,0,1387,13,1,0,0,11,0,0,0,1
"躺着转换为站着",0,8,13,11,22,1,0,0,0,1,0,1
"躺着转换为坐着",0,3,9,19,23,1,0,2,0,1,0,2
"下楼",147,233,0,1,0,605,0,1,0,0,0,0
"站着",1,0,0,0,0,0,1267,5,0,150,0,0
"站着转换为躺着",1,8,0,0,0,1,0,39,12,19,10,0
"站着转换为坐着",0,3,0,0,0,0,1,23,16,1,0,3
"坐着",0,0,17,4,0,0,218,24,0,1029,0,1
"坐着转换为躺着",0,0,1,4,0,0,0,43,8,6,13,0
"坐着转换为站着",0,2,0,13,0,0,0,0,0,0,0,8
